Variable, Coefficient, StdErr, t-stat, p-value
Intercept, 0.01617, 0.23307, 0.06939, 0.396979
views, -0.00031, 0.02812, -0.01111, 0.39773
likes, 0.16133, 0.03008, 5.362298, 0.00000
comments, 0.01113, 0.02138, 0.52077, 0.34683
shares, -0.22226, 0.02163, -10.277752, 0.0000
bookmarks, 0.23208, 0.02771, 8.37684, 0.00000
watchedFullVideo, -0.05245, 0.03820, -1.37305, 0.15486
length, -0.02106, 0.02094, -1.00572, 0.23916
category_info, 0.07154, 0.04861, 1.47172, 0.13481
category_opinion, 0.04133, 0.07440, 0.55552, 0.34036
category_tutorial, 0.35036, 0.23422, 1.49588, 0.13013
subject_cyber security, 0.10283, 0.08136, 1.26380, 0.17863
subject_data analytics, 0.06116, 0.07163, 0.85390, 0.27548
subject_devops, 0.06987, 0.11889, 0.58767, 0.33411
subject_software, 0.06570, 0.04616, 1.42315, 0.14450
hasCover, -0.02344, 0.00798, -2.93759, 0.00623
hasDescription, -0.02962, 0.00691, -4.28787, 0.00009
reply, -0.01769, 0.00734, -2.41081, 0.02316